"Type","Cluster"
"Alphapapillomavirus, Alphatorquevirus, Betatorquevirus, Enterovirus, Gammatorquevirus",1
"Alphatorquevirus, Betatorquevirus, Gammatorquevirus, Rotavirus, Unclassified.virus",1
"Betatorquevirus, Rotavirus, Sapovirus",1
"Enterovirus, Mastadenovirus, Picobirnavirus",1
"Enterovirus, Sapovirus",1
"Gemykibivirus",1
"Picobirnavirus, Sapovirus, Unclassified.virus",1
"Alphatorquevirus",2
"Alphatorquevirus, Enterovirus, Norovirus",2
"Alphatorquevirus, Enterovirus, Parechovirus",2
"Betapolyomavirus",2
"Betapolyomavirus, Picobirnavirus",2
"Betatorquevirus, Norovirus",2
"Cardiovirus",2
"Cardiovirus, Rotavirus, Salivirus",2
"Enterovirus, Mastadenovirus",2
"Gemycircularvirus, Picobirnavirus, Unclassified.virus",2
"Mastadenovirus, Norovirus",2
"Mastadenovirus, Unclassified.virus",2
"Norovirus, Picobirnavirus",2
"Picobirnavirus",2
"Picobirnavirus, Unclassified.virus",2
"Alphatorquevirus, Betapolyomavirus, Betatorquevirus, Enterovirus",3
"Alphatorquevirus, Betatorquevirus, Kobuvirus",3
"Alphatorquevirus, Betatorquevirus, Mamastrovirus",3
"Alphatorquevirus, Betatorquevirus, Norovirus, Parechovirus",3
"Alphatorquevirus, Betatorquevirus, Picobirnavirus",3
"Alphatorquevirus, Enterovirus",3
"Alphatorquevirus, Gammatorquevirus, Norovirus",3
"Alphatorquevirus, Gammatorquevirus, Sapovirus",3
"Alphatorquevirus, Gammatorquevirus, Unclassified.virus",3
"Alphatorquevirus, Mastadenovirus, Parechovirus",3
"Alphatorquevirus, Morbillivirus",3
"Alphatorquevirus, Norovirus, Parechovirus, Sapovirus",3
"Alphatorquevirus, Norovirus, Salivirus",3
"Alphatorquevirus, Rotavirus, Unclassified.virus",3
"Betatorquevirus, Cytomegalovirus, Enterovirus, Norovirus",3
"Betatorquevirus, Enterovirus",3
"Betatorquevirus, Enterovirus, Rotavirus",3
"Betatorquevirus, Gammatorquevirus",3
"Betatorquevirus, Kobuvirus",3
"Betatorquevirus, Picobirnavirus",3
"Betatorquevirus, Rotavirus, Salivirus",3
"Betatorquevirus, Unclassified.virus",3
"Bocaparvovirus",3
"Cosavirus, Sapovirus",3
"Cytomegalovirus, Rotavirus, Rubulavirus",3
"Cytomegalovirus, Rotavirus, Unclassified.virus",3
"Enterovirus",3
"Enterovirus, Gammatorquevirus",3
"Enterovirus, Kobuvirus",3
"Enterovirus, Rotavirus",3
"Gammatorquevirus, Rotavirus",3
"Husavirus, Mastadenovirus",3
"Mamastrovirus, Picobirnavirus, Unclassified.virus",3
"Mastadenovirus, Norovirus, Rotavirus",3
"Mastadenovirus, Parechovirus",3
"Mastadenovirus, Parechovirus, Sapovirus",3
"Mastadenovirus, Rotavirus",3
"Morbillivirus, Norovirus, Sapovirus",3
"Norovirus",3
"Norovirus, Parechovirus, Sapovirus",3
"Norovirus, Picobirnavirus, Sapovirus",3
"Norovirus, Rotavirus",3
"Parechovirus, Rotavirus",3
"Protoparvovirus",3
"Rotavirus",3
"Rotavirus, Sapovirus",3
"Salivirus",3
"Alphatorquevirus, Betatorquevirus",4
"Alphatorquevirus, Betatorquevirus, Mastadenovirus",4
"Alphatorquevirus, Betatorquevirus, Rotavirus",4
"Alphatorquevirus, Betatorquevirus, Unclassified.virus",4
"Alphatorquevirus, Cosavirus, Gammatorquevirus, Norovirus",4
"Alphatorquevirus, Gammatorquevirus",4
"Alphatorquevirus, Mamastrovirus",4
"Alphatorquevirus, Mastadenovirus",4
"Alphatorquevirus, Mastadenovirus, Unclassified.virus",4
"Alphatorquevirus, Norovirus",4
"Alphatorquevirus, Sapovirus",4
"Betatorquevirus, Parechovirus",4
"Bocaparvovirus, Enterovirus",4
"Bocaparvovirus, Parechovirus, Salivirus",4
"Bocaparvovirus, Rotavirus",4
"Cosavirus, Rotavirus, Salivirus, Sapovirus",4
"Gammatorquevirus",4
"Gemykrogvirus",4
"Mamastrovirus",4
"Norovirus, Parechovirus",4
"Picobirnavirus, Sapovirus",4
"Porprismacovirus",4
"Rotavirus, Unclassified.virus",4
"Unclassified.virus",4
"Alphatorquevirus, Betatorquevirus, Gammatorquevirus",5
"Alphatorquevirus, Unclassified.virus",5
"Betapolyomavirus, Rotavirus, Rubulavirus",5
"Betatorquevirus",5
"Betatorquevirus, Cardiovirus",5
"Bocaparvovirus, Mastadenovirus, Norovirus",5
"Cosavirus, Enterovirus",5
"Enterovirus, Gammatorquevirus, Norovirus, Parechovirus, Sapovirus",5
"Enterovirus, Norovirus, Parechovirus",5
"Enterovirus, Picobirnavirus",5
"Mastadenovirus, Rotavirus, Sapovirus",5
"Parechovirus, Sapovirus",5
"Rotavirus, Salivirus",5
"Alphatorquevirus, Betatorquevirus, Gammatorquevirus, Norovirus, Sapovirus",6
"Alphatorquevirus, Betatorquevirus, Mamastrovirus, Norovirus",6
"Alphatorquevirus, Betatorquevirus, Picobirnavirus, Rotavirus, Unclassified.virus",6
"Alphatorquevirus, Rotavirus",6
"Betatorquevirus, Enterovirus, Norovirus",6
"Betatorquevirus, Enterovirus, Norovirus, Parechovirus",6
"Betatorquevirus, Rotavirus",6
"Bocaparvovirus, Cardiovirus, Enterovirus, Norovirus",6
"Bocaparvovirus, Gemykibivirus, Rotavirus",6
"Bocaparvovirus, Mastadenovirus, Rotavirus, Sapovirus",6
"Cosavirus",6
"Enterovirus, Norovirus, Sapovirus",6
"Kobuvirus",6
"Kobuvirus, Parechovirus, Rotavirus",6
"Mamastrovirus, Picobirnavirus",6
"Mamastrovirus, Rotavirus",6
"Mamastrovirus, Sapovirus",6
"Mastadenovirus",6
"Mastadenovirus, Sapovirus",6
"Norovirus, Sapovirus",6
"Parechovirus",6
"Sapovirus",6
"Uninfected",6
"Alphatorquevirus, Betatorquevirus, Mastadenovirus, Norovirus",7
"Alphatorquevirus, Betatorquevirus, Parechovirus",7
"Alphatorquevirus, Betatorquevirus, Sapovirus",7
"Enterovirus, Gammatorquevirus, Parechovirus",7
"Enterovirus, Norovirus",7
"Norovirus, Unclassified.virus",7
